fascia_x;zona;linkzona;cod_tip;descr_tipologia;stato;stato_prev_x;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;fascia_y;zona_descr;cod_tip_prev;descr_tip_prev;stato_prev_y;microzona
C;C3;VR00000477;1.0;Ville e Villini;NORMALE;P;1600.0;2400.0;7.0;9.0;L;20231.0;C;'B.GO MILANO, NAVIGATORI, SAVAL, STADIO, P.TA NUOVA (FUORI MURA)';20.0;Abitazioni civili;N;4.0
C;C3;VR00000477;5.0;Negozi;NORMALE;P;1500.0;2500.0;8.0;14.0;L;20231.0;C;'B.GO MILANO, NAVIGATORI, SAVAL, STADIO, P.TA NUOVA (FUORI MURA)';20.0;Abitazioni civili;N;4.0
C;C3;VR00000477;6.0;Uffici;NORMALE;P;1000.0;1750.0;6.0;9.5;L;20231.0;C;'B.GO MILANO, NAVIGATORI, SAVAL, STADIO, P.TA NUOVA (FUORI MURA)';20.0;Abitazioni civili;N;4.0
D;D2;VR00000475;20.0;Abitazioni civili;NORMALE;P;1200.0;1600.0;5.5;6.5;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D2;VR00000475;21.0;Abitazioni di tipo economico;NORMALE;P;1050.0;1400.0;7.0;9.0;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D2;VR00000475;13.0;Box;NORMALE;P;650.0;900.0;7.0;9.0;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D2;VR00000475;1.0;Ville e Villini;NORMALE;P;1700.0;2500.0;7.0;9.0;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D2;VR00000475;5.0;Negozi;NORMALE;P;1300.0;1900.0;7.0;9.0;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D2;VR00000475;6.0;Uffici;NORMALE;P;1200.0;1700.0;7.0;9.0;L;20231.0;D;'S.CROCE, B.GO TRIESTE, PORTO S.PANCRAZIO, S.MICHELE, MOLINI';20.0;Abitazioni civili;N;3.0
D;D3;VR00000478;20.0;Abitazioni civili;NORMALE;P;1300.0;1700.0;5.5;7.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D3;VR00000478;21.0;Abitazioni di tipo economico;NORMALE;P;1200.0;1400.0;7.0;9.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D3;VR00000478;13.0;Box;NORMALE;P;600.0;900.0;7.0;9.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D3;VR00000478;1.0;Ville e Villini;NORMALE;P;1500.0;2250.0;7.0;9.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D3;VR00000478;5.0;Negozi;NORMALE;P;1400.0;2100.0;7.0;9.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D3;VR00000478;6.0;Uffici;NORMALE;P;1150.0;1550.0;7.0;9.0;L;20231.0;D;'CHIEVO, SAVAL, B.GO NUOVO, B.GO MILANO E S.MASSIMO';20.0;Abitazioni civili;N;4.0
D;D4;VR00000480;20.0;Abitazioni civili;NORMALE;P;1100.0;1350.0;5.5;7.5;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D4;VR00000480;21.0;Abitazioni di tipo economico;NORMALE;P;950.0;1150.0;4.5;6.0;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D4;VR00000480;13.0;Box;NORMALE;P;550.0;800.0;7.0;9.0;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D4;VR00000480;1.0;Ville e Villini;NORMALE;P;1500.0;2150.0;7.0;9.0;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D4;VR00000480;5.0;Negozi;NORMALE;P;1200.0;1850.0;9.0;12.0;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D4;VR00000480;6.0;Uffici;NORMALE;P;1150.0;1500.0;7.0;10.0;L;20231.0;D;'GOLOSINE, S.LUCIA';20.0;Abitazioni civili;N;5.0
D;D5;VR00000483;20.0;Abitazioni civili;NORMALE;P;950.0;1350.0;7.0;9.0;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D5;VR00000483;5.0;Negozi;NORMALE;P;1500.0;2200.0;7.0;9.0;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D5;VR00000483;6.0;Uffici;NORMALE;P;1300.0;1800.0;7.0;9.0;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D5;VR00000483;8.0;Capannoni industriali;NORMALE;P;430.0;650.0;2.5;4.5;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D5;VR00000483;8.0;Capannoni industriali;OTTIMO; ;800.0;1000.0;3.0;5.0;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D5;VR00000483;7.0;Capannoni tipici;NORMALE;P;400.0;600.0;7.0;9.0;L;20231.0;D;'GALTAROSSA, BASSO ACQUAR, PARCO FERROVIARIO, FIERA, Z.A.I. E SUOI AMPLIAMENTI, QUADRANTE EUROPA';8.0;Capannoni industriali;N;6.0
D;D8;VR00001299;20.0;Abitazioni civili;NORMALE;P;1150.0;1550.0;5.5;7.5;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
D;D8;VR00001299;21.0;Abitazioni di tipo economico;NORMALE;P;950.0;1350.0;4.5;6.0;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
D;D8;VR00001299;13.0;Box;NORMALE;P;500.0;700.0;7.0;9.0;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
D;D8;VR00001299;1.0;Ville e Villini;NORMALE;P;1500.0;2150.0;7.0;9.0;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
D;D8;VR00001299;5.0;Negozi;NORMALE;P;1050.0;1700.0;7.0;11.5;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
D;D8;VR00001299;6.0;Uffici;NORMALE;P;1100.0;1500.0;7.0;10.0;L;20231.0;D;'B.GO ROMA, TOMBA, TOMBETTA, CRISTO LAVORATORE, PRIMO MAGGIO, PALAZZINA';20.0;Abitazioni civili;N;0.0
E;E1;VR00000476;20.0;Abitazioni civili;NORMALE;P;1300.0;1750.0;6.0;7.5;L;20231.0;E;'POIANO, QUINTO, MONTORIO, VALPANTENA E VAL SQUARANTO';20.0;Abitazioni civili;N;3.0
E;E1;VR00000476;13.0;Box;NORMALE;P;600.0;900.0;7.0;9.0;L;20231.0;E;'POIANO, QUINTO, MONTORIO, VALPANTENA E VAL SQUARANTO';20.0;Abitazioni civili;N;3.0
E;E1;VR00000476;1.0;Ville e Villini;NORMALE;P;1550.0;2300.0;7.0;9.0; ;20231.0;E;'POIANO, QUINTO, MONTORIO, VALPANTENA E VAL SQUARANTO';20.0;Abitazioni civili;N;3.0
E;E2;VR00000479;20.0;Abitazioni civili;NORMALE;P;1250.0;1650.0;7.0;9.0;L;20231.0;E;'BASSONA E COMPARTI EDIFICATI LIMITROFI';20.0;Abitazioni civili;N;4.0
E;E2;VR00000479;1.0;Ville e Villini;NORMALE;P;1400.0;2000.0;7.0;9.0;L;20231.0;E;'BASSONA E COMPARTI EDIFICATI LIMITROFI';20.0;Abitazioni civili;N;4.0
E;E3;VR00000481;20.0;Abitazioni civili;NORMALE;P;1300.0;1650.0;5.5;7.0;L;20231.0;E;'SACRA FAMIGLIA, CA` DI DAVID';20.0;Abitazioni civili;N;5.0
