comune_istat_val;comune_cat_val;comune_amm_val;comune_descrizione_val;fascia_val;zona_val;linkzona;cod_tip;descr_tipologia;stato;stato_prev_val;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;comune_istat_zone;comune_cat_zone;comune_amm_zone;comune_descrizione_zone;fascia_zone;zona_descr;zona_zone;cod_tip_prev;descr_tip_prev;stato_prev_zone;microzona
5023091;D6AA;L781;VERONA;C;C3;VR00000477;13;Box;NORMALE;P;700;950;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;C;C3;VR00000477;1;Ville e Villini;NORMALE;P;1600;2400;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;C;C3;VR00000477;5;Negozi;NORMALE;P;1500;2500;8;14;L;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;C;C3;VR00000477;6;Uffici;NORMALE;P;1000;1750;6;9.5;L;2023_2;5023091;D6AA;L781;VERONA;C;'B.GO MILANO. NAVIGATORI. SAVAL. STADIO. P.TA NUOVA (FUORI MURA)';C3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;20;Abitazioni civili;NORMALE;P;1200;1600;6;7;L;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;21;Abitazioni di tipo economico;NORMALE;P;1050;1400;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;13;Box;NORMALE;P;650;900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;1;Ville e Villini;NORMALE;P;1700;2500;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;5;Negozi;NORMALE;P;1300;1900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D2;VR00000475;6;Uffici;NORMALE;P;1200;1700;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'S.CROCE. B.GO TRIESTE. PORTO S.PANCRAZIO. S.MICHELE. MOLINI';D2;20;Abitazioni civili;N;3.0
5023091;D6AA;L781;VERONA;D;D3;VR00000478;20;Abitazioni civili;NORMALE;P;1400;1800;5.5;7.5;L;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D3;VR00000478;21;Abitazioni di tipo economico;NORMALE;P;1300;1500;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D3;VR00000478;13;Box;NORMALE;P;600;900;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
